state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Haryana,Jind,Narwana,Mango,Other,Medium,2025-07-26,6000,7000,6500
Gujarat,Surat,Songadh(Umrada),Guar,Guaar,FAQ,2025-07-26,4500,5000,4690
Kerala,Thiruvananthapuram,Neyyatinkara,Green Chilli,Green Chilly,FAQ,2025-07-26,7500,8000,7600
Kerala,Ernakulam,Mazhuvannur VFPCK,Banana,Palayamthodan,Large,2025-07-26,1400,3200,2000
Haryana,Gurgaon,Gurgaon,Brinjal,Brinjal,FAQ,2025-07-26,1000,2000,1500
Gujarat,Chhota Udaipur,Bodeliu,Maize,Deshi Red,FAQ,2025-07-26,2045,2100,2075
Kerala,Kozhikode(Calicut),Mukkom,Potato,Other,FAQ,2025-07-26,8000,9000,8500
Kerala,Kozhikode(Calicut),Palayam,Cauliflower,Other,FAQ,2025-07-26,2100,2100,2100
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Ridgeguard(Tori),Other,FAQ,2025-07-26,3000,3000,3000
Kerala,Ernakulam,Thrippunithura,Pumpkin,Pumpkin,FAQ,2025-07-26,2400,4000,2600
Gujarat,Jamnagar,Dhrol,Wheat,Other,FAQ,2025-07-26,2200,2575,2390
Kerala,Kozhikode(Calicut),Kallachi,Amphophalus,Amphophalus,FAQ,2025-07-26,5800,6200,6000
Kerala,Thiruvananthapuram,Parassala,Colacasia,Other,FAQ,2025-07-26,6000,6500,6000
Gujarat,Gir Somnath,Talalagir,Tomato,Other,FAQ,2025-07-26,2000,4500,3000
Kerala,Thiruvananthapuram,Parassala,Amaranthus,Amaranthus,FAQ,2025-07-26,6000,6200,6000
Kerala,Kottayam,Pampady,Bitter gourd,Bitter Gourd,FAQ,2025-07-26,3500,5500,4500
Kerala,Alappuzha,Harippad,Carrot,Other,FAQ,2025-07-26,6000,6500,6000
Kerala,Thiruvananthapuram,Parassala,Beans,Beans (Whole),FAQ,2025-07-26,6000,6500,6000
